
--------------------------------------------------------------------------------
    MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------


--------------------------------------------------------------------------------
    MAR SECURITY - TESTING APPLICATION: mugtracker2D_orig
--------------------------------------------------------------------------------

Application output directory created at: output/mugtracker2D_orig
Output will be written to file: sanityCheck2D.2019-11-11.192954.csv

Running test script with params: 
	 Application package name: 		 edu.temple.attack_prototypes.vuforia.v0_2d
	 Application local name: 		 mugtracker2D_orig
	 Run time (min): 			 10
	 Data collection interval (seconds): 	 5
	 Total number of trials: 		 120
	 Reading from image directory: 		 /Users/slehr/Projects/MAR_Security/scripts/imgs
	 Reading from image file list: 		 sanityCheck2D

  bash arg: -p
  bash arg: edu.temple.attack_prototypes.vuforia.v0_2d
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=36ms (0ms mobile, 0ms wifi, 36ms not connected)

--------------------------------------------------------------------------------

App PID: 9014
Trial start time (ms): 1573518594802

TRIAL,ELAPSED_TIME_MS,IMG_FILE,CPU_PERC,MEM_PERC,EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB,TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB,FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
76,2717,dr_pepper.jpg,74.1,6.0,54725904,50592796,4133108,8,DNE,3667952,178428,1358904,1077952832,16361,2652,0,0,10,79,5858,55566
77,2741,dr_pepper.jpg,71.8,6.0,54725904,50592796,4133108,8,DNE,3667952,177840,1358428,1077952832,16519,2679,0,0,10,79,5858,55405
78,2708,dr_pepper.jpg,64.5,6.0,54725904,50592796,4133108,8,DNE,3667952,175504,1356448,1077952832,16686,2700,0,0,10,79,5858,55769
79,2726,dr_pepper.jpg,68.7,6.1,54725904,50592796,4133108,8,DNE,3667952,175096,1356048,1077952832,16856,2724,0,0,10,79,5858,55947
80,2722,dr_pepper.jpg,65.6,6.1,54725904,50592796,4133108,8,DNE,3667952,174672,1355616,1077952832,17027,2756,0,0,10,79,5858,55918
81,2732,dr_pepper.jpg,71.8,5.6,54725904,50592796,4133108,8,DNE,3667952,174176,1355120,1077952832,17277,2781,0,0,10,79,5858,51896
82,2744,dr_pepper.jpg,71.8,5.6,54725904,50592796,4133108,8,DNE,3667952,172396,1353340,1077952832,17454,2813,0,0,10,79,5858,51643
83,2732,dr_pepper.jpg,63.6,5.6,54725904,50592792,4133112,8,DNE,3667952,172144,1353108,1077952832,17631,2832,0,0,10,79,5858,51677
84,2760,dr_pepper.jpg,65.6,5.7,54725904,50592796,4133108,8,DNE,3667952,170896,1351864,1077952832,17796,2858,0,0,10,79,5858,52262
85,2722,dr_pepper.jpg,71.8,5.6,54725904,50592792,4133112,8,DNE,3667952,169816,1350804,1077952832,17959,2891,0,0,10,79,5858,52106
86,2749,dr_pepper.jpg,63.6,5.6,54725904,50592792,4133112,8,DNE,3667952,168512,1349500,1077952832,18136,2922,0,0,10,79,5858,52237
87,2743,dr_pepper.jpg,59.3,5.6,54725904,50592792,4133112,8,DNE,3667952,167320,1348348,1077952832,18309,2949,0,0,10,79,5858,52048
88,2757,dr_pepper.jpg,65.6,5.7,54725904,50592792,4133112,8,DNE,3667952,168824,1349856,1077952832,18459,2979,0,0,10,79,5858,52264
89,2745,dr_pepper.jpg,65.6,5.6,54725904,50592788,4133116,8,DNE,3667952,168044,1349080,1077952832,18624,3004,0,0,10,79,5858,52182
90,2742,dr_pepper.jpg,74.1,5.6,54725904,50592788,4133116,8,DNE,3667952,164376,1345420,1077952832,18795,3037,0,0,10,79,5858,52016
91,2754,both_sodas.jpg,78.1,5.6,54725904,50592788,4133116,8,DNE,3667952,165012,1346056,1077952832,18982,3061,0,0,10,79,5858,51846
92,2743,both_sodas.jpg,75.0,5.6,54725904,50592788,4133116,8,DNE,3667952,163740,1344784,1077952832,19194,3076,0,0,10,79,5858,51825
93,2728,both_sodas.jpg,70.9,5.7,54725904,50592788,4133116,8,DNE,3667952,163232,1344284,1077952832,19364,3110,0,0,10,79,5858,52553
94,2746,both_sodas.jpg,71.8,6.1,54725904,50592788,4133116,8,DNE,3667952,162380,1343440,1077952832,19540,3145,0,0,10,79,5858,56424
95,2750,both_sodas.jpg,60.6,6.1,54725904,50592788,4133116,8,DNE,3667952,160596,1341664,1077952832,19725,3168,0,0,10,79,5858,56439
96,2724,both_sodas.jpg,78.1,6.2,54725904,50592788,4133116,8,DNE,3667952,161104,1342172,1077952832,19915,3189,0,0,10,79,5858,57267
97,2743,both_sodas.jpg,75.0,6.2,54725904,50592788,4133116,8,DNE,3667952,161568,1342652,1077952832,20107,3210,0,0,10,79,5858,57296
98,2728,both_sodas.jpg,64.5,6.2,54725904,50592788,4133116,8,DNE,3667952,159648,1340732,1077952832,20276,3243,0,0,10,79,5858,57297
99,2720,both_sodas.jpg,68.7,6.2,54725904,50592788,4133116,8,DNE,3667952,159984,1341204,1077952832,20457,3265,0,0,10,79,5858,57116
100,2709,both_sodas.jpg,153,6.2,54725904,50592788,4133116,8,DNE,3667952,151016,1332236,1077952832,20702,3286,0,0,10,79,5858,56952
101,2691,both_sodas.jpg,96.8,6.0,54725904,50592788,4133116,8,DNE,3667952,166376,1347604,1077952832,20902,3309,0,0,10,79,5858,55541
102,2719,both_sodas.jpg,71.8,6.0,54725904,50592788,4133116,8,DNE,3667952,165008,1346236,1077952832,21078,3340,0,0,10,79,5858,55199
103,2742,both_sodas.jpg,75.0,6.0,54725904,50592788,4133116,8,DNE,3667952,165528,1346772,1077952832,21268,3362,0,0,10,79,5858,55019
104,2705,both_sodas.jpg,78.1,5.9,54725904,50592788,4133116,8,DNE,3667952,164740,1345984,1077952832,21444,3390,0,0,10,79,5858,54866
105,2729,both_sodas.jpg,68.7,5.9,54725904,50592788,4133116,8,DNE,3667952,164272,1345512,1077952832,21612,3422,0,0,10,79,5858,54668
106,2711,both_sodas.jpg,68.7,6.0,54725904,50592788,4133116,8,DNE,3667952,166496,1347736,1077952832,21777,3454,0,0,10,79,5858,55881
107,2738,both_sodas.jpg,74.1,6.0,54725904,50592788,4133116,8,DNE,3667952,166532,1347772,1077952832,21942,3479,0,0,10,79,5858,55814
108,2735,both_sodas.jpg,75.0,6.0,54725904,50592788,4133116,8,DNE,3667952,166636,1347884,1077952832,22133,3504,0,0,10,79,5858,55640
109,2729,both_sodas.jpg,75.0,6.1,54725904,50592788,4133116,8,DNE,3667952,165252,1346500,1077952832,22323,3529,0,0,10,79,5858,56421
110,2705,both_sodas.jpg,164,6.1,54725904,50592788,4133116,8,DNE,3667952,157504,1338752,1077952832,22562,3555,0,0,10,79,5858,56266
111,2747,both_sodas.jpg,78.1,6.1,54725904,50592784,4133120,8,DNE,3667952,170048,1351300,1077952832,22725,3581,0,0,10,79,5858,56292
112,2735,both_sodas.jpg,77.4,6.1,54725904,50592784,4133120,8,DNE,3667952,169556,1350812,1077952832,22901,3617,0,0,10,79,5858,56167
113,2745,both_sodas.jpg,62.5,6.1,54725904,50592784,4133120,8,DNE,3667952,166808,1348068,1077952832,23075,3652,0,0,10,79,5858,55977
114,2752,both_sodas.jpg,63.6,6.0,54725904,50592784,4133120,8,DNE,3667952,174024,1355284,1077952832,23246,3683,0,0,10,79,5858,55771
115,2741,both_sodas.jpg,71.8,6.0,54725904,50592784,4133120,8,DNE,3667952,174440,1355704,1077952832,23417,3708,0,0,10,79,5858,55556
116,2747,both_sodas.jpg,64.5,6.1,54725904,50592784,4133120,8,DNE,3667952,174180,1355452,1077952832,23588,3743,0,0,10,79,5858,56409
117,2736,both_sodas.jpg,68.7,6.1,54725904,50592784,4133120,8,DNE,3667952,173616,1354896,1077952832,23769,3765,0,0,10,79,5858,56395
118,2738,both_sodas.jpg,75.0,6.1,54725904,50592784,4133120,8,DNE,3667952,172812,1354092,1077952832,23950,3789,0,0,10,79,5858,56584
119,2738,both_sodas.jpg,71.8,6.2,54725904,50592784,4133120,8,DNE,3667952,171848,1353136,1077952832,24127,3817,0,0,10,79,5858,56871
120,2750,both_sodas.jpg,68.7,6.1,54725904,50592784,4133120,8,DNE,3667952,171480,1352768,1077952832,24306,3848,0,0,10,79,5858,56768
adb: error: failed to stat remote object '/storage/self/primary/Android/data/edu.temple.attack_prototypes.vuforia.v0_2d/files': No such file or directory

--------------------------------------------------------------------------------
	 MAR SECURITY - APPLICATION TESTING TRIAL COMPLETE
--------------------------------------------------------------------------------
Output available: output/mugtracker2D_orig/sanityCheck2D.2019-11-11.192954.csv
Snapshots available: output/mugtracker2D_orig/snapshots/
--------------------------------------------------------------------------------

